feature,importance
CC_DPD_DEF_RATIO,0.01262867235638836
BUREAU_BB_STATUS_4_SUM_SUM,0.011699549518094548
CC_SK_DPD_MEAN,0.011236352277847974
BUREAU_OVERDUE_RATIO,0.010539753732068712
AMT_REQ_CREDIT_BUREAU_HOUR,0.01018716805999886
CC_SK_DPD_MAX,0.009272355820626648
BUREAU_BB_STATUS_3_MEAN_MEAN,0.008999427902552998
CC_DPD_RATIO,0.008910226362932877
FLAG_DOCUMENT_5,0.008067791184238912
FLAG_DOCUMENT_9,0.007703591784349925
LIVE_CITY_NOT_WORK_CITY,0.007018645891814707
CC_SK_DPD_DEF_MAX,0.006473799639349127
FLAG_DOCUMENT_8,0.00636130280046934
LIVE_REGION_NOT_WORK_REGION,0.006198658969845578
REG_REGION_NOT_WORK_REGION,0.005573817342009162
REG_CITY_NOT_WORK_CITY,0.005285893067409566
BUREAU_BB_STATUS_3_SUM_SUM,0.004480951087285528
CC_STATUS_DEMAND_COUNT,0.004254749124725232
POS_STATUS_DEMAND_COUNT,0.0034138575316921124
POS_STATUS_DEMAND_RATIO,0.0028839339734450875
BUREAU_BB_STATUS_5_SUM_SUM,0.002502065059597843
CC_STATUS_SIGNED_COUNT,0.0020582983505651885
FLAG_MOBIL,0.0
CC_STATUS_DEMAND_RATIO,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_7,0.0
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
